HOST_LOAD busy_cores=2.81 logical_cores=16 free_ram_gb=20 sample_sec=1
HOST_LOAD_TOP 1.89 agy:22084 ws_mb=380
HOST_LOAD_TOP 0.36 pycharm64:9008 ws_mb=1886
HOST_LOAD_TOP 0.15 HWiNFO64:11920 ws_mb=24
HOST_LOAD_TOP 0.15 claude:6648 ws_mb=460
HOST_LOAD_TOP 0.08 powershell:7172 ws_mb=78
HOST_LOAD_VERDICT CLEAR
# host load witness  interval=10s  logical_cores=16  host=DESKTOP-CBL5NUA
# utc_iso  busy_cores  free_ram_gb  top5(name:pid=cores)
2026-09-09T04:02:36Z    7.36    15.7  python:13708=6.29 pycharm64:9008=0.64 HWiNFO64:11920=0.12 claude:6648=0.11 Taskmgr:17380=0.04
2026-09-09T04:02:46Z    7.03    15.7  python:13708=6.01 pycharm64:9008=0.57 HWiNFO64:11920=0.16 claude:6648=0.09 Taskmgr:17380=0.06
2026-09-09T04:02:57Z    6.82    15.6  python:13708=6.14 pycharm64:9008=0.22 HWiNFO64:11920=0.14 agy:22084=0.09 claude:6648=0.06
2026-09-09T04:03:07Z    8.91    15.7  python:13708=5.76 agy:22084=1.75 pycharm64:9008=0.91 HWiNFO64:11920=0.16 claude:6648=0.11
2026-09-09T04:03:17Z    9.81    16.2  python:13708=5.73 pycharm64:9008=1.9 agy:22084=1.65 HWiNFO64:11920=0.17 claude:6648=0.09
2026-09-09T04:03:27Z    6.69    16.2  python:13708=5.95 pycharm64:9008=0.21 HWiNFO64:11920=0.17 claude:6648=0.13 Taskmgr:17380=0.05
2026-09-09T04:03:37Z     6.9    16.1  python:13708=5.98 pycharm64:9008=0.51 HWiNFO64:11920=0.12 msedge:17704=0.07 Taskmgr:17380=0.05
2026-09-09T04:03:47Z     7.3    14.6  python:13708=6.23 pycharm64:9008=0.62 HWiNFO64:11920=0.15 claude:6648=0.11 Taskmgr:17380=0.05
2026-09-09T04:03:57Z     7.6    14.6  python:13708=6.82 pycharm64:9008=0.33 HWiNFO64:11920=0.15 claude:6648=0.11 Taskmgr:17380=0.05
2026-09-09T04:04:07Z    7.38    14.6  python:13708=6.87 pycharm64:9008=0.17 HWiNFO64:11920=0.16 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:04:18Z    7.51    14.6  python:13708=6.85 pycharm64:9008=0.32 HWiNFO64:11920=0.1 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:04:28Z    7.51    14.6  python:13708=6.86 pycharm64:9008=0.35 HWiNFO64:11920=0.13 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:04:38Z    7.81    14.7  python:13708=6.89 pycharm64:9008=0.55 HWiNFO64:11920=0.15 claude:6648=0.05 Taskmgr:17380=0.05
2026-09-09T04:04:48Z    7.77    14.6  python:13708=6.97 pycharm64:9008=0.38 HWiNFO64:11920=0.17 claude:6648=0.08 Taskmgr:17380=0.05
2026-09-09T04:04:58Z    7.51    14.6  python:13708=6.8 pycharm64:9008=0.26 HWiNFO64:11920=0.19 Taskmgr:17380=0.05 claude:6648=0.04
2026-09-09T04:05:08Z    7.88    14.6  python:13708=6.79 pycharm64:9008=0.64 HWiNFO64:11920=0.14 claude:6648=0.09 Taskmgr:17380=0.05
2026-09-09T04:05:18Z    8.13    14.6  python:13708=6.79 pycharm64:9008=0.9 HWiNFO64:11920=0.14 claude:6648=0.11 agy:22084=0.05
2026-09-09T04:05:28Z    7.65    14.5  python:13708=6.92 pycharm64:9008=0.32 claude:6648=0.12 HWiNFO64:11920=0.12 agy:22084=0.07
2026-09-09T04:05:38Z    8.91    14.5  python:13708=6.71 agy:22084=1.25 pycharm64:9008=0.55 HWiNFO64:11920=0.18 claude:6648=0.04
2026-09-09T04:05:48Z    9.74    14.5  python:13708=6.61 agy:22084=1.83 pycharm64:9008=0.88 HWiNFO64:11920=0.18 claude:6648=0.1
2026-09-09T04:05:59Z    8.94    14.5  python:13708=6.65 agy:22084=1.12 pycharm64:9008=0.76 HWiNFO64:11920=0.18 claude:6648=0.08
2026-09-09T04:06:09Z    7.68    14.6  python:13708=6.86 pycharm64:9008=0.45 HWiNFO64:11920=0.15 agy:22084=0.05 Taskmgr:17380=0.04
2026-09-09T04:06:19Z    7.88    16.4  python:13708=6.42 agy:22084=0.59 pycharm64:9008=0.47 HWiNFO64:11920=0.14 Taskmgr:17380=0.05
2026-09-09T04:06:29Z    8.26    16.4  python:13708=6.1 agy:22084=1.19 pycharm64:9008=0.73 HWiNFO64:11920=0.13 Taskmgr:17380=0.05
2026-09-09T04:06:39Z    8.64    16.4  python:13708=6.12 agy:22084=1.74 pycharm64:9008=0.57 HWiNFO64:11920=0.12 Taskmgr:17380=0.04
2026-09-09T04:06:49Z    7.69    16.3  python:13708=5.95 agy:22084=1.07 pycharm64:9008=0.34 HWiNFO64:11920=0.13 Taskmgr:17380=0.04
2026-09-09T04:06:59Z     8.4    12.6  python:13708=6.26 agy:22084=1.12 pycharm64:9008=0.72 HWiNFO64:11920=0.16 Taskmgr:17380=0.06
2026-09-09T04:07:10Z    7.47    11.7  python:13708=5.4 agy:22084=1.01 pycharm64:9008=0.67 HWiNFO64:11920=0.16 Taskmgr:17380=0.06
2026-09-09T04:07:20Z    7.93    11.7  python:13708=6.05 agy:22084=1.09 pycharm64:9008=0.31 HWiNFO64:11920=0.17 python:18984=0.11
2026-09-09T04:07:30Z    8.96    11.7  python:13708=6.07 agy:22084=1.56 pycharm64:9008=0.92 HWiNFO64:11920=0.16 Taskmgr:17380=0.06
2026-09-09T04:07:40Z    9.82    11.7  python:13708=5.83 agy:22084=2.21 pycharm64:9008=1.4 HWiNFO64:11920=0.14 Taskmgr:17380=0.1
2026-09-09T04:07:50Z   10.15    11.8  python:13708=5.86 agy:22084=2.23 pycharm64:9008=1.49 HWiNFO64:11920=0.21 Taskmgr:17380=0.1
2026-09-09T04:08:00Z    9.89    11.7  python:13708=6.19 agy:22084=2.19 pycharm64:9008=1.17 HWiNFO64:11920=0.15 Taskmgr:17380=0.07
2026-09-09T04:08:11Z    8.43    16.5  python:13708=5.56 agy:22084=1.63 pycharm64:9008=0.88 HWiNFO64:11920=0.17 Taskmgr:17380=0.06
2026-09-09T04:08:21Z    7.39    16.5  python:13708=4.78 agy:22084=1.68 pycharm64:9008=0.59 HWiNFO64:11920=0.15 Taskmgr:17380=0.04
2026-09-09T04:08:31Z    7.16    16.5  python:13708=4.61 agy:22084=1.67 pycharm64:9008=0.64 HWiNFO64:11920=0.14 Taskmgr:17380=0.04
2026-09-09T04:08:41Z    7.39    16.5  python:13708=4.56 agy:22084=1.68 pycharm64:9008=0.9 HWiNFO64:11920=0.12 Taskmgr:17380=0.04
