# host load witness  interval=10s  logical_cores=16  host=DESKTOP-CBL5NUA
# utc_iso  busy_cores  free_ram_gb  top5(name:pid=cores)
2026-09-09T03:13:08Z    8.16    16.1  python:18876=5.78 python:15600=0.96 pycharm64:9008=0.75 agy:22084=0.24 claude:6648=0.15
2026-09-09T03:13:19Z    7.51    17.6  python:18876=5.23 python:15600=0.97 pycharm64:9008=0.61 agy:22084=0.22 claude:6648=0.17
2026-09-09T03:13:29Z    8.33    16.4  python:18876=5.44 python:15600=0.97 pycharm64:9008=0.89 AUEPMaster:11808=0.29 agy:22084=0.28
2026-09-09T03:13:39Z    8.18    16.7  python:18876=5.99 python:15600=0.96 pycharm64:9008=0.56 agy:22084=0.27 HWiNFO64:11920=0.12
2026-09-09T03:13:49Z    7.31    17.6  python:18876=5.6 python:15600=0.98 pycharm64:9008=0.29 agy:22084=0.18 HWiNFO64:11920=0.12
2026-09-09T03:13:59Z    7.57    15.8  python:18876=5.47 python:15600=0.97 pycharm64:9008=0.63 agy:22084=0.17 HWiNFO64:11920=0.12
2026-09-09T03:14:09Z    7.81    16.4  python:18876=5.68 python:15600=0.95 pycharm64:9008=0.56 agy:22084=0.26 HWiNFO64:11920=0.16
2026-09-09T03:14:19Z    6.73    17.9  python:18876=4.94 python:15600=0.98 pycharm64:9008=0.29 agy:22084=0.22 HWiNFO64:11920=0.12
2026-09-09T03:14:30Z    7.32    14.2  python:18876=5.21 python:15600=0.96 pycharm64:9008=0.59 agy:22084=0.23 HWiNFO64:11920=0.13
2026-09-09T03:14:40Z    6.87    13.5  python:18876=4.66 python:15600=0.99 pycharm64:9008=0.61 agy:22084=0.24 HWiNFO64:11920=0.11
2026-09-09T03:14:50Z    6.85    17.9  python:18876=5 python:15600=0.98 pycharm64:9008=0.33 agy:22084=0.25 HWiNFO64:11920=0.11
2026-09-09T03:15:00Z    7.02    16.9  python:18876=5.04 python:15600=0.97 pycharm64:9008=0.54 agy:22084=0.2 HWiNFO64:11920=0.12
2026-09-09T03:15:10Z    7.55    18.9  python:18876=5.38 python:15600=0.98 pycharm64:9008=0.65 agy:22084=0.25 HWiNFO64:11920=0.11
2026-09-09T03:15:20Z       7    11.5  python:18876=5.27 python:15600=0.96 agy:22084=0.21 pycharm64:9008=0.19 HWiNFO64:11920=0.13
2026-09-09T03:15:30Z    7.31    10.7  python:18876=5.07 python:15600=0.97 pycharm64:9008=0.62 agy:22084=0.19 claude:6648=0.15
2026-09-09T03:15:40Z    7.47     8.5  python:18876=5.1 python:15600=0.98 pycharm64:9008=0.85 agy:22084=0.2 HWiNFO64:11920=0.17
2026-09-09T03:15:51Z    6.11    10.2  python:18876=4.3 python:15600=0.99 pycharm64:9008=0.26 agy:22084=0.21 HWiNFO64:11920=0.15
2026-09-09T03:16:01Z    6.73    15.8  python:18876=4.7 python:15600=0.98 pycharm64:9008=0.55 agy:22084=0.23 HWiNFO64:11920=0.1
2026-09-09T03:16:11Z    8.27    13.6  python:18876=4.86 agy:22084=1.35 python:15600=0.98 pycharm64:9008=0.7 HWiNFO64:11920=0.13
2026-09-09T03:16:21Z    6.66    14.7  python:18876=4.9 python:15600=0.96 pycharm64:9008=0.26 agy:22084=0.24 HWiNFO64:11920=0.12
2026-09-09T03:16:31Z    6.61    14.5  python:18876=4.58 python:15600=0.99 pycharm64:9008=0.54 agy:22084=0.18 HWiNFO64:11920=0.14
2026-09-09T03:16:41Z    6.72    18.1  python:18876=4.5 python:15600=0.99 pycharm64:9008=0.65 agy:22084=0.24 HWiNFO64:11920=0.13
2026-09-09T03:16:51Z    6.32    17.9  python:18876=4.4 python:15600=0.98 agy:22084=0.25 pycharm64:9008=0.22 HWiNFO64:11920=0.14
2026-09-09T03:17:01Z    7.66    16.7  python:18876=4.81 pycharm64:9008=1.21 python:15600=0.96 agy:22084=0.26 HWiNFO64:11920=0.15
2026-09-09T03:17:11Z     7.2    14.8  python:18876=5.11 python:15600=0.98 pycharm64:9008=0.54 agy:22084=0.24 HWiNFO64:11920=0.13
2026-09-09T03:17:22Z    6.97    15.6  python:18876=5.17 python:15600=0.97 pycharm64:9008=0.22 agy:22084=0.17 claude:6648=0.13
2026-09-09T03:17:32Z       7     8.7  python:18876=4.91 python:15600=0.97 pycharm64:9008=0.54 agy:22084=0.23 HWiNFO64:11920=0.12
2026-09-09T03:17:42Z    6.11       9  python:18876=3.99 python:15600=0.97 pycharm64:9008=0.68 agy:22084=0.19 HWiNFO64:11920=0.12
2026-09-09T03:17:52Z    5.88     7.6  python:18876=4.23 python:15600=0.99 pycharm64:9008=0.16 agy:22084=0.14 HWiNFO64:11920=0.14
2026-09-09T03:18:02Z    7.34      17  python:18876=5.18 python:15600=0.95 pycharm64:9008=0.56 agy:22084=0.25 HWiNFO64:11920=0.12
2026-09-09T03:18:12Z    7.94    16.8  python:18876=5.38 pycharm64:9008=1.06 python:15600=0.95 agy:22084=0.21 HWiNFO64:11920=0.13
2026-09-09T03:18:22Z    6.64    15.7  python:18876=4.8 python:15600=0.97 pycharm64:9008=0.31 agy:22084=0.21 claude:6648=0.13
2026-09-09T03:18:33Z    6.05    16.6  python:18876=3.75 python:15600=0.96 pycharm64:9008=0.73 claude:6648=0.16 agy:22084=0.16
2026-09-09T03:18:43Z    7.75      16  python:18876=5.42 python:15600=0.94 pycharm64:9008=0.77 agy:22084=0.21 HWiNFO64:11920=0.14
2026-09-09T03:18:53Z    7.02    13.3  python:18876=5.21 python:15600=0.99 pycharm64:9008=0.23 agy:22084=0.19 HWiNFO64:11920=0.14
