HOST_LOAD busy_cores=1.23 logical_cores=16 free_ram_gb=21.3 sample_sec=1
HOST_LOAD_TOP 0.54 python:6832 ws_mb=79
HOST_LOAD_TOP 0.37 agy:22084 ws_mb=393
HOST_LOAD_TOP 0.09 pycharm64:9008 ws_mb=2032
HOST_LOAD_TOP 0.06 powershell:13340 ws_mb=75
HOST_LOAD_TOP 0.05 powershell:15404 ws_mb=78
HOST_LOAD_VERDICT CLEAR
# host load witness  interval=10s  logical_cores=16  host=DESKTOP-CBL5NUA
# utc_iso  busy_cores  free_ram_gb  top5(name:pid=cores)
2026-09-09T04:47:27Z    5.15    16.7  python:18168=2.36 pycharm64:9008=1.43 agy:22084=0.9 claude:6648=0.12 HWiNFO64:11920=0.11
2026-09-09T04:47:38Z    4.57    16.6  python:18168=2.43 pycharm64:9008=1.01 agy:22084=0.51 python:15636=0.36 claude:6648=0.08
2026-09-09T04:47:48Z    4.49    16.6  python:18168=2.38 pycharm64:9008=1.02 agy:22084=0.72 claude:6648=0.11 HWiNFO64:11920=0.11
2026-09-09T04:47:58Z     3.6    14.8  python:18168=1.37 agy:22084=1.24 pycharm64:9008=0.63 HWiNFO64:11920=0.13 claude:6648=0.08
2026-09-09T04:48:08Z    2.89    17.2  python:18168=0.99 agy:22084=0.98 pycharm64:9008=0.57 HWiNFO64:11920=0.13 claude:6648=0.1
2026-09-09T04:48:18Z    2.51    16.7  python:18168=0.99 agy:22084=0.84 pycharm64:9008=0.34 HWiNFO64:11920=0.12 claude:6648=0.11
2026-09-09T04:48:28Z    3.28      13  agy:22084=1.49 python:18168=0.99 pycharm64:9008=0.49 HWiNFO64:11920=0.12 claude:6648=0.09
2026-09-09T04:48:38Z    2.62    12.2  python:18168=1 agy:22084=0.78 pycharm64:9008=0.49 HWiNFO64:11920=0.1 python:15396=0.07
2026-09-09T04:48:48Z    2.02      14  python:18168=0.99 agy:22084=0.57 pycharm64:9008=0.21 HWiNFO64:11920=0.1 Taskmgr:17380=0.06
2026-09-09T04:48:58Z    3.23    18.1  agy:22084=1.25 python:18168=0.99 pycharm64:9008=0.76 HWiNFO64:11920=0.13 Taskmgr:17380=0.07
2026-09-09T04:49:09Z    1.24    17.3  python:18168=0.99 HWiNFO64:11920=0.1 pycharm64:9008=0.06 Taskmgr:17380=0.05 claude:6648=0.02
2026-09-09T04:49:19Z     1.9    17.1  python:18168=0.99 pycharm64:9008=0.69 HWiNFO64:11920=0.13 Taskmgr:17380=0.05 claude:23456=0.01
2026-09-09T04:49:29Z     1.5    14.2  python:18168=0.99 pycharm64:9008=0.31 HWiNFO64:11920=0.08 Taskmgr:17380=0.05 agy:22084=0.03
2026-09-09T04:49:39Z    1.62    16.1  python:18168=0.99 pycharm64:9008=0.39 HWiNFO64:11920=0.12 Taskmgr:17380=0.05 claude:23456=0.02
2026-09-09T04:49:49Z     1.6    16.6  python:18168=0.98 pycharm64:9008=0.22 HWiNFO64:11920=0.14 claude:6648=0.08 Taskmgr:17380=0.05
2026-09-09T04:49:59Z    1.34      18  python:18168=1 pycharm64:9008=0.11 HWiNFO64:11920=0.09 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:50:09Z    1.61    12.8  python:18168=0.99 pycharm64:9008=0.31 HWiNFO64:11920=0.1 claude:6648=0.08 agy:22084=0.03
2026-09-09T04:50:19Z    1.55      17  python:18168=0.99 pycharm64:9008=0.27 HWiNFO64:11920=0.1 claude:6648=0.07 Taskmgr:17380=0.03
2026-09-09T04:50:29Z    1.54    17.1  python:18168=0.99 pycharm64:9008=0.36 HWiNFO64:11920=0.07 claude:6648=0.04 Taskmgr:17380=0.03
2026-09-09T04:50:39Z    1.57    12.9  python:18168=0.99 pycharm64:9008=0.3 HWiNFO64:11920=0.11 claude:6648=0.06 Taskmgr:17380=0.05
2026-09-09T04:50:49Z    1.49    16.1  python:18168=0.99 pycharm64:9008=0.24 claude:6648=0.09 HWiNFO64:11920=0.09 Taskmgr:17380=0.03
2026-09-09T04:50:59Z    1.46    16.8  python:18168=0.99 pycharm64:9008=0.3 HWiNFO64:11920=0.07 claude:6648=0.05 Taskmgr:17380=0.03
2026-09-09T04:51:10Z    1.47    17.1  python:18168=0.99 pycharm64:9008=0.29 HWiNFO64:11920=0.08 claude:6648=0.04 agy:22084=0.03
2026-09-09T04:51:20Z    1.24    16.5  python:18168=0.98 pycharm64:9008=0.12 HWiNFO64:11920=0.07 Taskmgr:17380=0.02 claude:6648=0.02
2026-09-09T04:51:30Z     1.6    16.6  python:18168=0.99 pycharm64:9008=0.34 HWiNFO64:11920=0.12 Taskmgr:17380=0.04 agy:22084=0.03
2026-09-09T04:51:40Z    1.35    16.7  python:18168=0.99 pycharm64:9008=0.19 HWiNFO64:11920=0.08 Taskmgr:17380=0.03 claude:6648=0.02
2026-09-09T04:51:50Z    1.23    17.9  python:18168=0.98 HWiNFO64:11920=0.1 Taskmgr:17380=0.04 pycharm64:9008=0.03 claude:6648=0.02
2026-09-09T04:52:00Z    1.41    16.6  python:18168=0.99 pycharm64:9008=0.26 HWiNFO64:11920=0.08 Taskmgr:17380=0.03 agy:22084=0.02
2026-09-09T04:52:10Z    1.55    18.1  python:18168=0.99 pycharm64:9008=0.35 HWiNFO64:11920=0.13 Taskmgr:17380=0.04 claude:23456=0.01
2026-09-09T04:52:20Z    1.27    17.5  python:18168=0.99 HWiNFO64:11920=0.11 pycharm64:9008=0.07 Taskmgr:17380=0.04 agy:22084=0.03
2026-09-09T04:52:30Z    1.67    17.5  python:18168=0.99 pycharm64:9008=0.43 HWiNFO64:11920=0.12 Taskmgr:17380=0.06 claude:6648=0.02
2026-09-09T04:52:40Z    1.53      18  python:18168=0.98 pycharm64:9008=0.31 HWiNFO64:11920=0.1 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:52:50Z    1.41    16.4  python:18168=0.99 pycharm64:9008=0.12 HWiNFO64:11920=0.1 claude:6648=0.05 Taskmgr:17380=0.04
2026-09-09T04:53:00Z    1.46    10.8  python:18168=0.98 pycharm64:9008=0.26 HWiNFO64:11920=0.1 claude:6648=0.06 Taskmgr:17380=0.03
2026-09-09T04:53:11Z    1.44     9.7  python:18168=1 pycharm64:9008=0.16 claude:6648=0.1 HWiNFO64:11920=0.09 Taskmgr:17380=0.03
2026-09-09T04:53:21Z    1.66    18.1  python:18168=0.99 pycharm64:9008=0.44 HWiNFO64:11920=0.1 claude:6648=0.04 Taskmgr:17380=0.03
2026-09-09T04:53:31Z    1.75    14.2  python:18168=0.99 pycharm64:9008=0.45 HWiNFO64:11920=0.11 claude:6648=0.09 Taskmgr:17380=0.04
2026-09-09T04:53:41Z    1.29    16.6  python:18168=0.98 pycharm64:9008=0.14 HWiNFO64:11920=0.06 Taskmgr:17380=0.03 claude:23456=0.02
2026-09-09T04:53:51Z     1.4      18  python:18168=0.99 pycharm64:9008=0.24 HWiNFO64:11920=0.08 claude:23456=0.02 claude:8948=0.02
2026-09-09T04:54:01Z    1.43    18.1  python:18168=0.98 pycharm64:9008=0.23 HWiNFO64:11920=0.1 agy:22084=0.03 Taskmgr:17380=0.03
2026-09-09T04:54:11Z    1.44      18  python:18168=0.99 pycharm64:9008=0.16 HWiNFO64:11920=0.14 Taskmgr:17380=0.04 hwinfo_npu_bridge:23132=0.02
2026-09-09T04:54:21Z    1.71    14.1  python:18168=0.98 pycharm64:9008=0.5 HWiNFO64:11920=0.09 Taskmgr:17380=0.04 agy:22084=0.04
2026-09-09T04:54:31Z    1.46    15.8  python:18168=0.99 pycharm64:9008=0.19 HWiNFO64:11920=0.14 Taskmgr:17380=0.08 hwinfo_npu_bridge:23132=0.01
2026-09-09T04:54:41Z    1.64    17.9  python:18168=0.99 pycharm64:9008=0.42 HWiNFO64:11920=0.09 Taskmgr:17380=0.05 agy:22084=0.03
2026-09-09T04:54:51Z    1.43    18.2  python:18168=0.97 pycharm64:9008=0.28 HWiNFO64:11920=0.08 Taskmgr:17380=0.04 claude:6648=0.03
2026-09-09T04:55:01Z    1.37    11.9  python:18168=0.98 pycharm64:9008=0.14 HWiNFO64:11920=0.11 Taskmgr:17380=0.05 agy:22084=0.03
2026-09-09T04:55:12Z    1.57    11.8  python:18168=1 pycharm64:9008=0.37 HWiNFO64:11920=0.11 Taskmgr:17380=0.05 agy:22084=0.02
2026-09-09T04:55:22Z    1.72    20.4  python:18168=1.24 pycharm64:9008=0.3 HWiNFO64:11920=0.1 Taskmgr:17380=0.05 claude:18852=0.01
2026-09-09T04:55:32Z    7.48    19.5  python:18168=7.03 pycharm64:9008=0.28 HWiNFO64:11920=0.08 Taskmgr:17380=0.04 claude:6648=0.02
2026-09-09T04:55:42Z    6.78    19.5  python:18168=6.14 pycharm64:9008=0.39 HWiNFO64:11920=0.11 Taskmgr:17380=0.06 agy:22084=0.03
2026-09-09T04:55:52Z    6.69    19.6  python:18168=6.11 pycharm64:9008=0.24 HWiNFO64:11920=0.1 Taskmgr:17380=0.06 claude:6648=0.05
2026-09-09T04:56:02Z    6.69    19.6  python:18168=6.19 pycharm64:9008=0.27 HWiNFO64:11920=0.1 Taskmgr:17380=0.05 claude:18852=0.02
2026-09-09T04:56:12Z     6.9    17.2  python:18168=6.09 pycharm64:9008=0.45 HWiNFO64:11920=0.16 Taskmgr:17380=0.05 claude:23456=0.05
2026-09-09T04:56:22Z    6.72    18.2  python:18168=6.15 pycharm64:9008=0.31 HWiNFO64:11920=0.15 Taskmgr:17380=0.07 claude:23456=0.01
2026-09-09T04:56:32Z     6.9    18.2  python:18168=6.38 pycharm64:9008=0.27 HWiNFO64:11920=0.09 Taskmgr:17380=0.05 agy:22084=0.03
2026-09-09T04:56:43Z    6.92    18.2  python:18168=6.21 pycharm64:9008=0.46 HWiNFO64:11920=0.1 Taskmgr:17380=0.05 agy:22084=0.04
2026-09-09T04:56:53Z    6.81    18.2  python:18168=6.1 pycharm64:9008=0.32 HWiNFO64:11920=0.14 Taskmgr:17380=0.07 claude:6648=0.03
2026-09-09T04:57:03Z     6.7    17.9  python:18168=6.29 HWiNFO64:11920=0.14 pycharm64:9008=0.12 Taskmgr:17380=0.07 agy:22084=0.02
